SongKey,Title,DiscNumber,TrackNumber,DurationMs,Popularity,FeaturingArtists,AlbumKey,LyricsKey,SymphonyKey,Category
8c704f50-91d3-4901-82a8-c2d198eecbeb,Gente che spera,1,7,248546,55.0,Reverendo,525e5d72-4387-4b5d-8b7f-e80e036f3293,bd9df6131ef24bae914cebc8276ae924,3b35630739d34e7fb078984d3301f228,italian_pop
ed6c17c6-e9ff-4a34-8279-a219905fb7aa,SCUSI MAESTRA,1,4,176200,43.0,Tedua,f359f3e1-8050-4089-8785-8daf99712253,651d6f4a60bb48159a46cbad64c12ed8,7d4963ec753f4153a53fde5629437381,italian_pop
94ae4cac-2347-4966-a5ad-377c3f5a242b,Maria Maria,1,9,260600,43.0,,789f061d-230d-49f8-bce5-62a62296a6a0,f528b7cb5e9940a4ab03ddf01fd96aa8,a1519cb1dcc34e93bedfcb9b8e982bef,italian_pop
e1073a25-8acd-4c3f-9a9e-e81e751fc8a4,Tocca Qui,1,8,261839,37.0,Lory Asson,624a5cbc-ca3e-4df4-a17d-cb1c29ce9b20,adeb42890d634b78be8a2e06b1657944,52152748694d4e979e8d188c190e95b4,italian_pop
abbc16e0-c260-43c0-ae2b-a608c8b684b7,Domani smetto,1,1,157640,55.0,,525e5d72-4387-4b5d-8b7f-e80e036f3293,49bee376feb8448da1f334a0d2f535a1,9a0cd778ed12441cbbe04cee18139a2e,italian_pop
f0d5100f-9b5b-4030-af9f-7ecd2adb6c39,Spirale ovale,1,2,232186,53.0,,525e5d72-4387-4b5d-8b7f-e80e036f3293,19f7c31fde7447ce9c816d7bc48eaf38,f92264d825bf4787b495ed489d5809f6,italian_pop
32234a9b-463e-4f1d-92ff-c6143055e776,Domani,1,1,157640,55.0,Paola Folli,525e5d72-4387-4b5d-8b7f-e80e036f3293,820493ce06f8416883d3eb333f66c28d,db5a7211f055466a8a160b8922c7a696,italian_pop
b1276920-5589-4f90-b6a9-fe5557ec151a,L’Italiano medio,1,3,195840,50.0,,172ef98f-b435-4532-81e9-ebb9bea3bbf8,568559b9992244479364bd7f24bb3612,d7ee4d33d6054421b9b5ddb6f61baec8,italian_pop
59a7efa1-1f5e-4856-85de-942f0f5aaa6a,Noi no,1,13,297600,38.0,,525e5d72-4387-4b5d-8b7f-e80e036f3293,a7d3cee215324dab8daf689e50ef9ab9,22e17ea7911e4508a73d58854406989e,rap_street
6b660ab2-814d-41e0-ab3e-0b861bc89a0d,La mia ragazza mena,1,3,195840,50.0,Bruno De Filippi,172ef98f-b435-4532-81e9-ebb9bea3bbf8,d62ff3ba332540abb0be78b609f6b4d0,692d138c63e342e28a5e8bc6a55aba68,storytelling
