SongID_Original,BPM,Rolloff,Flux,RMS,Flatness,SpectralComplexity,Pitch,Loudness
658c5916-15ba-441c-b9c3-460ef2f68f4c,132.01,3034.3304,1.3105,0.1101,0.7277,13.9209,2366.3715,9.9063
bf009f84-0767-46a1-a30b-4b918f8d06dc,120.03,2366.2406,1.4543,0.2451,0.8423,28.2409,1938.3149,26.4812
fb58b4cb-4447-4feb-aef7-75a029022a3c,111.82,3795.6828,1.2148,0.1681,0.6155,21.0232,2379.3629,18.9285
88e427d8-6755-41e9-8642-87f6e8bee855,83.98,1050.6276,1.3011,0.1774,0.7384,9.6972,3290.7641,19.0712
c2ab9f1b-79d1-4843-be50-0c804783e569,162.94,1869.8051,1.3421,0.2003,0.7949,22.8578,2209.678,21.2403
31ccd80b-c1c6-44ad-a72b-9435bbaa493d,125.03,1934.5935,1.4139,0.2055,0.7728,13.0344,3779.4293,22.3514
6de6f0b5-7aff-4c2d-b381-c970ecf2f71f,129.9,818.8553,1.1656,0.1881,0.9207,20.9247,2602.8205,19.4275
92ef74a5-56d4-470c-beca-d7591d514435,89.99,1212.2858,1.3092,0.1752,0.773,12.1333,2773.7418,19.0531
bba4c63d-01e6-4ca9-be2f-72bd496a9b9d,120.13,3582.4288,1.2478,0.2094,0.8214,33.7949,1824.7316,22.7303
6cc791fe-e43e-48d2-b97f-33b6215bc618,162.73,1107.2605,1.2771,0.2024,0.9019,21.8408,2699.4368,21.4811
d62c1f73-9b59-4afb-96db-9a20fb1563b3,111.66,2195.196,1.1163,0.2994,0.7075,44.7233,2081.2349,35.0766
adafac6f-074f-4c1e-b002-d4150e385c68,128.13,2249.6672,1.2816,0.1782,0.8036,18.4892,2329.5916,18.6314
ecc1addf-952d-43d9-9a7b-f45a0fa9e296,110.53,1040.0353,1.4597,0.2067,0.9101,16.396,3128.3278,21.9519
b053925d-d93c-4126-8d67-71ff830bd79a,139.97,3116.7849,1.2563,0.2229,0.8499,30.8548,1684.8277,22.9262
5ee59a02-f8bc-42fb-bfba-f494eec5b0b7,130.27,1808.7049,1.3226,0.2484,0.8827,30.3263,2135.9642,26.9355
2cabd46f-8ac6-42c8-a119-51aded9d53a6,139.97,827.0196,1.0763,0.1394,0.9329,15.3637,2553.9273,12.5703
71cae07a-bf2e-4c5b-8c5e-c20753001fc4,80.0,1782.1832,1.2365,0.2323,0.8827,25.0827,2353.2912,26.1656
7a07c241-650a-463f-875f-57ffb6280059,153.3,2669.8838,1.2984,0.3032,0.8241,37.8022,2296.2452,36.6221
b06b3a1a-219c-4540-bbd4-68519bf7b483,129.72,2515.3547,1.3069,0.2731,0.7743,37.2041,2255.9006,30.6359
5d2302db-74c2-483c-b23b-cc978dbcedc9,84.9,1547.7531,1.2125,0.1773,0.8228,24.6032,1849.5998,17.7461
904bb63f-5848-421e-a6d2-c18e8cd96d60,117.14,1884.9794,1.1337,0.2034,0.8773,34.0868,1930.2272,21.2632
05bb0cd8-64b9-4eac-9e12-1581de096bba,153.01,1737.7581,1.2441,0.3138,0.906,43.8565,2215.4506,36.5028
8bca1ae1-08d9-466e-997c-79bc42940d74,122.98,1130.8945,1.3838,0.1507,0.9279,18.0716,2676.9534,14.3088
5ec5452c-7131-4cce-ba05-1e4d02fc5041,146.07,1812.7452,1.235,0.3084,0.8933,27.485,2115.0699,36.1978
1474754d-3eaf-43d2-b309-2fb32f27196f,129.34,1498.5186,1.1173,0.2077,0.8567,20.8018,2402.482,22.4804
c1889802-f604-44c3-a73c-ff409e687b86,119.97,1777.6694,1.1541,0.3587,0.871,46.3838,2132.8882,43.4368
2eff944b-0cb1-477b-8684-a09581b653ea,150.11,1028.2468,1.234,0.1994,0.9187,22.0308,2186.8316,20.9161
e6401dd6-4651-47ed-b7db-324485f24d5a,135.98,1385.0983,1.045,0.2441,0.8568,31.341,2109.3597,26.5365
d48bc8b4-5292-44ca-ac28-73e1efb9e9dc,150.1,2002.7622,1.2404,0.3399,0.8659,40.0712,2042.2873,40.6788
