SongID_Original,ArtistID_Original
TR225416,ART16868977
TR188319,ART04141409
TR479850,ART04141409
TR624032,ART04141409
TR278549,ART04141409
TR278549,ART64850829
TR541162,ART04141409
TR541162,ART25707984
TR616250,ART04141409
TR609719,ART04141409
TR256934,ART04141409
TR460194,ART04141409
TR254009,ART04141409
TR254009,ART16868977
TR488418,ART04141409
TR824938,ART04141409
TR432394,ART04141409
TR554191,ART04141409
TR554264,ART04141409
TR797776,ART04141409
TR582034,ART04141409
TR562617,ART04141409
TR562617,ART07127070
TR562617,ART02733420
TR742694,ART04141409
TR308214,ART04141409
TR542219,ART04141409
TR542219,ART57616402
TR542219,ART19729064
TR542219,ART88792008
TR542219,ART02733420
TR983581,ART04141409
TR983581,ART28846313
TR807159,ART04141409
TR125331,ART04141409
TR863199,ART04141409
TR863199,ART76284946
TR580176,ART04141409
TR348171,ART04141409
TR938544,ART04141409
TR802113,ART04141409
TR265696,ART04141409
TR967662,ART04141409
TR933903,ART04141409
TR335755,ART04141409
TR335755,ART46711784
TR125386,ART04141409
TR268658,ART04141409
TR268658,ART88792008
TR791246,ART04141409
TR791246,ART86549066
TR791246,ART15560128
TR583962,ART04141409
TR124434,ART04141409
TR218997,ART04141409
TR218997,ART40229749
TR944932,ART04141409
TR944932,ART19729064
TR293657,ART04141409
TR790229,ART04141409
TR218912,ART04141409
TR873662,ART04141409
TR136720,ART04141409
TR136720,ART57616402
TR254911,ART04141409
TR254911,ART83125571
TR254911,ART57242110
TR424668,ART04141409
TR921543,ART04141409
TR530901,ART04141409
TR530901,ART07024718
TR120740,ART04141409
TR986935,ART04141409
TR986935,ART71969350
TR514260,ART04141409
TR973118,ART04141409
TR973118,ART76284946
TR973118,ART98118784
TR353260,ART04141409
TR353260,ART98118784
TR318534,ART04141409
TR193317,ART04141409
TR299448,ART04141409
TR299448,ART07127070
TR528812,ART04141409
TR528812,ART88792008
TR963623,ART04141409
TR725789,ART04141409
TR939819,ART04141409
TR223685,ART04141409
TR206776,ART04141409
TR206776,ART07024718
TR521466,ART04141409
TR319879,ART04141409
TR319879,ART86549066
TR513866,ART04141409
TR513866,ART48622722
TR583699,ART04141409
TR583699,ART02733420
TR777316,ART04141409
TR853786,ART04141409
TR432902,ART04141409
TR706576,ART04141409
TR522271,ART04141409
TR522271,ART12092805
TR649101,ART04141409
TR649101,ART02733420
TR114652,ART04141409
TR794558,ART04141409
TR794558,ART57616402
TR876119,ART04141409
TR400695,ART04141409
TR163092,ART04141409
TR163092,ART57242110
TR477970,ART04141409
TR761094,ART04141409
TR752180,ART04141409
TR752180,ART51721248
TR624479,ART04141409
TR624479,ART02733420
TR930466,ART04141409
TR827090,ART04141409
TR767130,ART04141409
TR918527,ART04141409
TR918527,ART83125571
TR918527,ART76284946
TR438282,ART04141409
TR323420,ART04141409
TR323420,ART88792008
TR816419,ART04141409
TR287981,ART04141409
TR164901,ART04141409
TR397794,ART04141409
TR847376,ART04141409
TR847376,ART17812958
TR490311,ART04141409
TR704708,ART04141409
TR704708,ART88792008
